credit_score	income	loan_amount	loan_term	interest_rate	debt_to_income_ratio	employment_years	savings_balance	age	default_risk_score
371	96961	48285	12	5.37	44.47	34	81434	54	470.1656335
810	30326	20261	12	6.81	27.63	30	83656	65	5952.395143
791	49373	18380	12	14.34	33.53	32	12404	27	6342.283129
530	146522	49139	12	4.44	40.74	13	81199	67	264.7830338
357	46685	36055	24	9.2	29.1	30	94731	60	2933.224451
817	132590	20901	36	13.23	33.42	24	29187	59	5823.273864
377	63408	48543	12	14.09	48.25	27	23664	30	441.7525486
525	76503	46945	24	7.44	46.66	23	42438	61	711.9204281
443	135608	12421	48	14.01	15.38	29	68993	41	7630.04219
840	31344	47652	48	2.69	15.04	10	25345	23	496.0917504
673	54531	45372	48	10.84	18.83	5	67359	68	954.5923173
368	142413	7159	24	8.6	37.16	10	56325	25	8726.130147
810	40662	7852	36	12.79	18.72	22	25988	55	8448.107373
641	129049	12629	12	10.07	23.57	15	595	64	7550.127582
675	90326	14833	36	2.63	26.76	30	42372	66	7083.810113
842	110827	28284	48	2.94	43.15	9	56326	62	4372.070099
803	46630	48363	12	10.1	26.31	15	30028	46	354.0326077
366	72326	32386	12	14.01	23.15	30	36390	33	3676.257401
658	63753	44864	24	14.23	26.95	19	42406	43	1097.223184
389	47082	22153	12	12.97	47.97	24	96583	21	5705.599025
303	127860	11416	12	9.33	24.07	14	87675	40	7877.068286
391	73302	22772	48	4.47	23.38	19	20390	21	5554.620423
493	75204	9135	24	12.68	35.02	17	75956	39	8289.79808
702	56062	14852	60	9.87	45.62	31	18733	50	7077.584336
704	55133	10774	60	12.73	46.38	24	39601	40	7893.987103
443	55435	8040	12	3.28	37.91	32	39131	48	8522.631572
643	109563	47287	12	9.53	11.61	6	9969	35	631.5412667
657	64064	11910	60	10.45	49.86	30	7642	68	7712.83244
727	24853	6367	12	13.39	16.45	11	3981	69	8761.936362
358	32115	30556	48	12.29	33.9	17	19768	33	4042.849699
790	96260	31819	60	9.14	12.23	2	98537	27	3641.1355
421	146879	10978	12	8.19	15.32	14	38192	23	7944.836166
847	55057	5645	48	5.64	22.31	12	37310	69	8852.339511
489	135953	33903	36	14.88	31.88	31	26469	59	3324.859309
837	82211	23073	36	7.39	10.84	3	80317	37	5388.529312
621	45683	12999	48	8.11	37.88	7	90201	63	7451.338063
800	81367	18489	60	13.01	22.41	34	89299	19	6292.305522
494	53039	39503	36	10.8	33.31	31	55311	28	2196.177652
552	39250	10704	36	2.64	31.99	29	61313	69	7937.944169
381	123674	21299	36	8.55	16.47	9	68827	29	5884.538081
791	146209	31035	12	2.99	13.92	6	3771	49	3822.654236
680	137428	35129	60	13.94	14.93	17	57378	38	3037.434872
679	100199	34794	36	10.77	17.09	9	3513	50	3093.065061
769	30616	45194	36	3.88	26.11	10	73705	33	982.0531656
466	92355	6667	24	11.48	23.5	1	63248	54	8792.845561
352	26638	9079	60	11.6	23.11	5	95359	39	8337.691039
601	23020	39406	60	11.9	48.02	27	57480	53	2211.75687
425	21435	9940	60	12.05	13.94	23	25757	51	8129.939269
805	88785	25215	36	10.89	40.39	1	56862	68	4980.548788
706	24648	35933	12	14.23	12.82	29	91428	36	2849.982974
576	21925	33272	60	5.06	16.73	1	81335	29	3427.550325
432	127435	15800	60	9.94	12.41	6	68921	31	6964.863073
553	114223	9358	36	7.11	35.99	0	453	51	8230.767296
481	114588	35932	48	14.62	31.79	0	1909	67	2933.196937
543	121520	39881	60	9.72	47.39	20	66425	32	2129.91284
442	110874	30538	36	14.27	44.66	3	76154	35	4014.762264
579	125899	29765	12	14.33	48.08	33	25958	47	4124.90364
322	149044	17722	60	6.58	17.48	17	29565	29	6606.011492
700	43019	34725	36	5.98	20.75	26	77806	31	3091.997051
663	29110	30817	36	12.57	23.55	10	87937	43	3900.208006
738	57265	44575	12	3.64	13.6	33	86282	26	1121.614142
474	55946	6898	48	12.92	45.5	3	43601	28	8742.641412
412	103441	33552	36	7.93	16.99	27	16459	24	3433.460626
849	59063	12345	36	6.42	37.02	2	26149	26	7540.069731
340	130677	27433	12	3.75	41.76	28	40473	26	4661.533355
394	103847	22015	12	11.74	41.4	22	67300	58	5732.121872
784	20338	12151	48	9.99	40.61	9	13503	51	7614.498857
700	105431	13258	12	13.52	42.5	14	65867	41	7390.300139
445	43398	38787	12	5.09	42.48	10	28365	49	2389.023765
802	56408	26627	48	10.71	41.18	21	62637	60	4668.948905
768	69708	9795	12	5.81	12.05	22	85474	32	8046.510887
695	83620	46424	36	5.23	18.09	5	1737	22	778.4051394
620	51890	42766	12	10.98	12.93	28	83276	55	1493.20296
721	25776	46321	60	6.94	34.62	1	54703	19	787.6074819
594	36309	46903	48	14.6	12.7	0	27885	26	709.68067
327	81681	48934	12	13.43	37.61	30	44553	50	384.5602454
542	125423	47641	48	11.33	22.97	7	65054	60	567.7442554
687	79129	28616	36	9.65	15.97	33	16984	43	4315.108079
380	93543	14435	12	13.93	31.93	17	13186	56	7270.135088
641	116826	11548	24	4.85	31.64	20	32826	21	7762.049248
768	29200	37994	12	4.33	15.89	22	67808	47	2411.426963
719	95532	30766	48	12.81	48.31	25	96516	19	3879.069545
515	59499	5161	36	14.62	25.07	19	33172	56	9067.474748
405	108397	48039	24	2.91	21.92	3	99279	34	516.4862677
846	109899	46800	24	10.28	40.08	8	38744	18	664.7994593
514	140824	34259	60	12.59	11.58	15	28804	47	3248.771299
495	92099	38365	60	7.87	28.43	0	20982	61	2442.242627
320	109599	34165	12	8.81	28	27	13275	53	3325.276788
664	51966	25281	24	6.58	24.33	17	51952	34	4987.763262
552	50087	28225	60	4.82	46.37	27	18302	26	4464.647825
345	149972	15754	24	10.96	14.32	15	20625	69	7001.09565
353	34199	33495	24	6.72	16.48	4	40643	33	3467.645071
560	21560	42481	12	10.85	30.31	14	7903	32	1623.384061
549	68290	32044	36	5.86	45.63	3	21577	18	3684.051755
360	25109	17087	60	13.62	40.4	6	67313	28	6731.623456
709	53662	48619	36	5.46	21.93	24	74353	50	313.0759082
659	140585	45846	12	8.44	24.09	16	67262	21	894.1169422
480	117419	23752	24	11.17	19.35	4	9215	49	5348.003529
504	145133	24033	48	12.78	21.49	2	47258	61	5290.779515
489	135512	30169	48	13.38	33.38	3	41954	26	4082.869675
805	106206	29817	36	10.45	36.66	24	36113	27	4037.457933
412	100559	28253	12	11.85	27.06	32	1779	67	4466.048273
403	132340	23745	12	9.72	34.85	17	23932	33	5374.449984
420	146446	43659	36	4.69	18.27	17	50477	65	1392.522322
775	144873	26384	24	9.14	48.23	34	51514	46	4752.140429
704	117883	38069	48	12.53	30.55	12	22419	33	2433.704909
660	53397	15403	24	3.98	26.54	6	19563	21	6991.91076
357	93609	32065	36	14.11	19.63	17	16704	32	3749.788825
809	44070	20222	12	2.6	20.34	5	12666	28	5983.51538
567	28820	27668	48	3.77	13.26	20	68222	55	4532.496301
374	81550	47963	36	3.12	45.17	14	59624	63	570.1391964
528	67614	6125	24	14.48	42.04	29	77475	29	8881.486553
389	131562	12710	48	12.84	24.77	7	11539	22	7617.333651
685	145816	21029	12	9.64	23.57	23	83641	45	5833.326845
553	123320	25733	60	12.55	33.83	15	10702	52	4967.601058
744	130022	36186	48	12.3	26.43	0	90518	20	2796.995166
417	44578	19716	24	13.04	26.06	23	11953	21	6200.429217
450	26640	31122	60	11.72	22.94	24	36901	35	3900.087922
630	75761	28171	24	9.97	37.3	19	26140	54	4449.925992
719	116059	15983	36	5.75	42.85	18	15690	47	6847.260469
352	88760	24363	48	8.24	49.88	9	12178	20	5305.78851
412	102310	47668	36	4.86	23.28	23	50715	63	595.0334658
770	65272	23888	36	6.57	31.87	6	38889	56	5258.269841
459	94859	28164	48	12.34	39.16	33	10976	24	4489.376044
749	67837	48241	12	6.33	38.81	33	19935	20	405.9657041
545	100097	35682	60	8.99	38.07	28	7526	63	2955.216137
442	54157	41875	12	11.28	26.49	17	75701	29	1738.523251
516	39623	8716	12	7.81	33.94	24	57557	38	8352.810038
639	35896	48596	48	5.89	34.13	20	7961	62	358.8066152
788	60998	38755	60	5	33.74	25	98644	67	2259.266032
430	72393	43467	12	7.85	24.26	29	77707	28	1432.913858
552	68845	35620	36	10.84	11.76	16	74099	52	2964.329825
348	75619	28197	60	13.45	21.38	20	94192	34	4515.053929
666	89274	21052	12	6.56	13.2	19	15357	37	5847.944958
350	111428	6529	48	5.26	17.21	11	27412	31	8848.480164
619	125361	35314	24	6.75	33.84	12	3650	28	3024.110206
317	127803	5282	60	9.38	47.52	14	48340	62	9103.112256
517	39975	29487	60	9.71	45.04	11	55991	67	4218.706844
447	102189	12239	12	14.17	11.59	13	47322	31	7686.140907
524	110600	12052	24	11.71	37.69	21	81218	58	7690.379176
372	50015	7023	48	4.08	36.87	32	8998	47	8741.927352
361	132992	29282	12	8.84	48.32	4	53014	32	4298.900239
442	143782	41727	36	8.39	14.77	2	50311	19	1767.371436
464	143191	20892	48	12.93	12.19	7	48113	46	5939.866582
831	41288	22069	36	14.11	15.57	7	85914	63	5588.011754
521	112324	28551	60	3.82	22.55	2	43310	44	4393.98379
460	71184	10051	24	10.69	17.08	25	3543	47	8128.791463
513	82046	38848	36	9.6	30.18	29	36901	44	2344.002073
354	121872	22071	12	7.66	24.24	19	86799	69	5722.756594
628	143629	39742	60	13.1	33.81	19	26708	53	2138.661511
553	85128	20352	36	6.78	41.12	12	19787	60	6041.007203
386	136891	44901	36	7.44	25.28	13	13231	48	1165.101442
350	141332	28762	60	7.14	22.5	16	50374	37	4401.254526
481	33760	26253	12	3.56	16.4	1	59010	36	4841.163212
758	112447	12896	24	11.45	28.32	13	98971	56	7430.249367
675	39129	47468	12	11.98	46.1	13	92259	33	548.3224097
427	59062	23099	60	5.82	45.24	20	96330	39	5515.120315
311	77372	17504	60	5.94	26.11	13	84085	26	6656.537626
460	65028	25421	12	11.48	37.57	33	95310	18	5023.057215
623	32201	6633	60	9.33	10.28	33	20595	62	8725.742374
473	111659	35911	60	13.6	35.82	4	17558	64	2965.285829
831	87889	18279	24	11.44	41.97	7	72390	64	6348.197039
706	91431	33211	12	10.3	20.12	33	54943	27	3399.737598
410	95897	17448	60	8.35	44.34	34	80771	69	6622.582579
337	70072	10249	60	5.62	22.61	14	14591	41	8104.237318
774	87649	47951	36	6.89	21.37	15	88887	31	439.1398937
845	20526	42900	36	3.53	47.27	6	21630	48	1434.201451
784	42431	18428	48	5.23	15.87	25	58759	26	6321.397078
311	29903	37003	36	12.27	42.39	0	26393	53	2775.128409
577	24470	16439	12	10.28	48.46	18	23332	23	6820.309333
426	86061	42823	60	11.74	21.91	31	36538	18	1579.898781
529	44574	24201	24	8.94	15.33	6	97247	43	5238.882656
444	50027	27669	48	10.77	30.5	5	89494	40	4572.502751
385	26368	10469	36	13.38	30.02	3	35010	32	8067.202306
645	62874	34984	36	10.36	42.55	3	89826	19	3055.963033
325	71195	34197	60	10.77	20.77	15	28511	26	3322.804638
375	117624	10542	48	5.9	34.17	2	8314	65	8045.407515
584	124199	24909	36	3.36	14.35	17	20968	40	5066.581611
649	46015	29570	48	8.87	30.44	20	13306	31	4147.805086
315	70106	41618	60	8.3	41.34	18	89402	44	1846.292836
579	100688	42211	60	10.13	12.28	32	20539	64	1647.87272
558	130091	6431	48	2.88	45.2	28	13334	62	8797.984233
765	74615	14596	12	11.77	49.06	22	46389	63	7110.228012
823	80112	28705	48	13.25	40.63	19	41111	44	4270.910184
776	100435	47685	48	3.22	46.45	11	73366	26	487.8317308
798	105956	48108	36	8.98	49.3	20	86335	25	387.6678138
374	22396	42285	48	11.87	12.18	32	44527	39	1680.447468
434	32984	19484	24	4.82	49.82	8	57851	22	6251.991339
584	21239	35930	36	13.05	47.04	4	83683	54	2890.381908
314	46958	11171	36	6.25	49.69	15	17358	58	7949.00003
519	111357	12788	12	2.99	39.15	26	97605	47	7538.933769
588	37602	17330	60	7.19	27.31	27	93102	32	6606.530395
812	41427	37125	60	8.75	37.68	24	35281	27	2596.108095
346	103309	31661	48	14.39	33	4	70192	65	3828.86745
408	128295	16101	48	4.64	40.49	22	44645	59	6895.193729
627	145261	47870	48	5.39	42.96	31	84790	66	491.9536023
318	91635	5258	24	6.93	15.84	28	47307	41	9107.090932
580	85455	41751	12	6.42	30	33	76669	38	1726.643198
300	119950	35798	48	7.89	13.11	4	91239	33	3005.434281
396	136400	29259	24	5.9	44.46	23	70248	57	4279.530168
406	41804	48590	24	5.37	39.81	17	1242	21	439.770208
328	46916	14369	36	3.79	41.33	27	91655	22	7297.804718
382	48602	33927	12	8.31	10.96	5	92934	30	3329.492285
685	146945	31475	48	9.66	39.66	29	99862	26	3747.043982
535	46385	23450	12	14.6	32.88	13	32980	64	5411.95379
314	98339	34055	24	10.79	17.6	19	38032	34	3347.532467
718	48145	26636	60	7.9	49.09	23	6749	22	4735.20852
752	53933	30592	12	6.58	39.21	10	23519	52	3925.033892
619	82768	19472	12	14.99	16.75	2	35670	66	6178.961755
352	71571	11295	12	10.47	32.56	24	35030	35	7874.045178
500	121660	21905	24	12.54	29.35	17	19462	68	5718.393459
784	144938	40941	12	3.15	13.81	20	5544	46	1829.516468
538	98797	17258	12	10.09	37.8	2	50539	43	6644.848348
810	141826	21035	36	5.59	31.02	17	47218	60	5810.447736
825	89298	32523	48	4.79	45.88	12	51507	43	3516.960296
362	91260	26038	60	2.91	48.15	4	18608	18	4964.631188
730	90135	19939	36	3.13	19.88	23	12062	19	6055.260321
761	84324	14283	24	4.66	14.9	12	68371	22	7170.228798
481	49856	28172	60	12.81	13.22	34	84294	45	4459.782374
417	118818	47821	60	10.97	41.02	10	94491	25	563.4188757
347	111748	31987	12	7.78	23.21	2	50468	47	3764.700655
745	25626	29858	48	13.16	32.02	12	99096	65	4042.66321
583	22050	15526	36	13.92	44.91	0	60091	28	6999.845477
438	92715	28252	12	5.43	30.82	7	14692	33	4499.475628
605	127288	13706	24	4.34	27.19	24	48114	21	7317.37103
527	70861	15028	36	13.86	22.52	0	22912	25	7108.543921
369	90981	13080	12	4.13	10.17	34	29283	21	7527.26088
736	59214	34334	48	13.72	29.85	9	74599	30	3179.274362
641	96367	11710	12	11.05	20.96	11	61245	59	7717.935219
419	49430	36007	36	3.3	44.05	2	93789	36	2937.834233
398	138618	35874	24	4.46	43.05	0	17322	46	2978.750305
799	67908	27360	36	5.16	12.15	23	55823	69	4537.948773
668	106231	14956	36	6.42	43.04	15	28942	35	7071.914649
648	36082	7643	24	3.49	49.83	25	45117	66	8552.376595
595	64965	35573	36	9.6	35.4	0	68274	58	2973.79922
637	65084	11704	12	12.06	22.6	6	34206	35	7739.304912
371	24263	41487	36	11.18	44.74	7	10100	23	1867.401846
569	57412	23681	36	5.76	46.83	27	52772	24	5354.13462
538	126661	42804	60	9.74	22.49	30	91271	38	1530.717579
353	101537	6283	24	8.78	18.16	32	76928	23	8883.521744
342	31536	40851	60	7.73	11.97	30	63722	34	1972.981156
300	56877	12736	48	2.74	49.03	20	83488	40	7619.37709
404	137584	33044	12	13.58	15.33	11	13163	30	3549.145719
493	66163	24715	24	4.67	11.89	30	81187	42	5134.501822
324	76985	24194	60	3.67	15.49	32	37493	64	5320.289525
398	89626	29596	12	5.8	18.06	11	68706	31	4197.145414
710	100818	30470	12	4.88	44.64	21	91737	62	3944.788693
325	86435	20078	24	12.52	37.17	15	56747	41	6161.904544
417	104976	6376	12	4.59	42.41	30	86339	27	8857.597725
476	103624	48668	36	7.28	35.03	28	21322	40	394.86468
825	97475	36182	36	7.16	42.17	29	53019	38	2763.729156
754	88247	8712	60	6.13	31.2	2	58466	23	8289.684342
543	77492	5488	36	12.71	19.04	23	65641	44	8975.172462
595	124540	16918	36	4.38	14.81	26	81099	20	6687.475463
655	132214	6727	36	5.18	14.27	14	132	49	8709.31212
398	94038	49311	24	5.6	10	4	81932	59	266.8500037
658	57641	13636	36	11	12.4	22	95380	25	7300.634642
774	41172	12848	36	11.3	12.02	11	34160	20	7460.947332
584	141750	11852	24	12.61	39.58	18	61597	52	7720.629313
674	122665	13533	48	6.11	36.9	9	57894	41	7351.049688
472	29077	34956	36	6.77	44.97	7	18705	61	3126.306239
678	111194	41768	36	4.82	26.75	28	32125	52	1691.566926
389	65648	39171	24	10.89	42.58	20	5993	53	2322.457358
319	101470	29981	48	9.46	23.25	22	71185	21	4160.036035
398	42534	5163	12	11.18	17.38	22	39029	18	9113.843128
572	142720	21044	24	5.79	37.3	8	368	65	5911.179187
491	91719	36238	60	10.4	42.82	5	29086	54	2878.24754
607	132301	26727	12	6.78	21.33	11	30699	37	4743.720654
701	57567	49251	24	3.17	39.23	17	73173	28	196.5649423
524	32182	17149	12	5.66	11.8	25	40297	55	6654.191904
570	141789	22824	12	6.91	17.74	18	39832	33	5508.271732
472	120686	41224	12	12.03	33.97	21	44013	27	1870.087154
636	84288	41060	48	7.15	26.21	32	50721	30	1840.30417
489	138681	34734	12	14.31	19.05	20	99764	39	3144.395314
820	98131	34009	24	10.74	19.08	7	81948	35	3216.475875
839	64569	44071	48	12.24	49.66	30	4782	65	1208.788281
759	98301	21994	60	14.76	23.21	32	47098	69	5628.622012
560	35398	5587	60	14.73	17.82	2	91531	62	8970.909195
761	65420	33144	60	6.68	20.39	19	73953	33	3404.397993
527	97539	38340	48	6.1	19.94	27	93286	53	2426.27739
430	55737	18598	48	11.26	41.49	25	67306	68	6423.855345
684	26737	43520	24	2.61	12.02	9	60663	48	1355.264665
615	31046	41321	36	12.5	18.45	14	19641	39	1815.286785
512	40953	15759	24	14.95	25.97	6	70968	63	6961.671972
717	123537	46779	12	10.26	21.21	8	96341	65	696.1118996
714	64547	14160	12	9.02	36.6	3	17043	35	7218.9328
812	40049	35508	60	14.88	30.51	26	57442	44	2905.69681
452	36371	7472	60	3.82	13.8	1	10707	37	8624.384829
690	20956	36703	60	11.96	11.42	11	90365	45	2697.575989
380	41792	8726	48	10.31	16.16	18	95335	42	8386.317802
460	117955	43314	48	5.27	30.13	19	1067	44	1463.599924
519	103300	12967	48	13.77	23.82	21	48037	26	7514.066044
312	103186	14557	24	5.82	49.31	25	15629	39	7265.086073
767	33629	27436	24	5.47	24.52	4	25032	55	4564.547807
740	118762	31201	36	6.01	45.46	2	54646	48	3810.90268
653	60042	38328	60	8.75	20.04	33	75282	60	2390.392996
676	77660	35268	36	12.84	29.02	9	36486	68	3016.128202
457	77775	25103	60	4.92	15.02	29	13265	60	5078.523875
691	118511	34309	48	7.25	48.46	12	8536	69	3185.620021
551	96242	12099	36	2.78	36.82	22	769	53	7683.418241
810	57311	46674	12	13.23	47.96	17	59946	65	685.4656174
452	68320	14127	48	10.03	39.67	18	69586	52	7290.304514
456	46017	28481	12	9.95	44.3	16	82143	27	4410.947596
612	89350	44961	12	10.17	30.47	21	10481	42	1091.370048
622	117659	9895	24	8.94	22.31	13	48928	19	8083.228514
507	143618	34371	48	11.32	38.49	25	97170	22	3234.282346
546	39426	39084	36	11.43	12.78	22	83028	41	2247.935703
757	147844	47719	12	14.67	39.38	16	32214	58	478.2270561
472	47961	34312	24	11.88	20.82	1	6273	19	3267.331465
572	87675	9481	48	13.85	26.57	27	52389	18	8181.137891
588	124386	13329	48	4.63	43.96	4	65557	50	7416.067162
660	33507	16280	12	10.31	13.88	0	76631	19	6789.748343
710	37778	48617	12	6.8	19.39	0	49377	28	320.376274
304	22920	22073	60	14.19	18.17	22	8789	32	5764.337936
692	148496	13906	36	10.05	42.74	17	62370	57	7260.982254
787	32857	31062	24	3.56	30.86	20	65131	55	3812.836851
693	31303	38535	36	13.61	27.7	9	82315	55	2337.407106
735	101182	33625	48	11.43	48.99	9	37387	19	3328.623465
377	59030	13004	60	10.37	11.01	8	90648	48	7534.568377
534	141863	46855	36	5.28	27.79	4	15764	47	713.1999958
300	52196	24921	24	14.69	13.66	8	58408	25	5194.252528
771	75337	31523	36	7.73	20.83	20	46451	63	3720.445171
353	122650	15793	60	14.2	31.61	28	86840	18	6977.647968
430	140103	30923	48	14.59	47.22	25	86673	63	3957.303263
431	99561	36358	12	3.27	46.6	26	35418	29	2877.164647
770	107046	47600	12	10.61	31.94	1	97927	47	483.1044588
341	98249	15749	36	3.6	15.81	6	294	62	7014.770387
799	32987	30364	36	12.58	37.37	11	27472	37	3950.586147
726	23972	33861	48	2.57	11.61	12	44140	23	3248.21731
327	40581	13234	60	3.92	28.71	33	56017	20	7510.638697
346	37674	33763	60	3.34	31.61	20	92115	52	3408.381667
331	133939	34139	60	11.43	40.54	32	48506	56	3313.945661
748	27424	49638	48	14.22	26.29	18	79731	19	105.2621575
731	117820	17677	60	10.6	15.74	14	99525	26	6480.175118
341	28946	19289	36	3.65	43.76	1	47085	47	6311.74716
780	129996	8374	36	14.41	30	3	80378	68	8335.947963
399	31664	36890	48	13.21	10.45	25	87904	18	2744.23229
419	50448	10656	36	8.43	35.93	3	12879	25	8024.476366
432	127188	44213	24	4.21	10.81	32	78006	35	1259.000178
719	148322	37371	60	9.96	25.33	32	78422	68	2564.807055
587	76638	24169	48	4.57	33.33	6	27626	24	5275.718717
700	107312	41041	12	2.67	26.26	6	74400	19	1837.010948
623	31561	39622	48	3.34	48.14	1	51990	66	2139.994761
655	144398	32516	12	7.41	24.53	18	16956	24	3566.954406
347	61688	7563	60	9.41	19.29	22	1831	28	8654.607515
346	65350	26008	24	3.96	23.82	14	28074	58	4967.618507
668	70192	9531	60	7.37	21.22	26	74702	25	8126.984727
500	102811	23710	12	4.76	23.69	24	40524	25	5365.412947
714	107266	16824	60	4.59	12.38	19	7373	67	6676.657034
645	104878	17924	24	2.64	32.22	33	63321	38	6461.198414
815	44951	33982	60	6.93	34.77	25	17393	60	3211.338117
333	130459	41850	36	7.32	45.86	23	64280	49	1809.996546
324	41927	31390	24	8.33	37.65	13	76794	25	3870.13105
350	148386	18057	48	12.71	35.03	26	37679	58	6532.193509
532	128737	14518	24	3	36.49	1	10292	19	7196.376463
562	35317	44420	24	7.14	23.71	17	9752	58	1192.54724
721	131822	16929	12	8.77	47.15	9	61082	56	6668.352452
742	71047	8471	12	12.12	12.15	1	62147	60	8332.480303
755	102197	40479	24	9.54	19.48	19	27909	67	1915.560491
824	108652	38598	24	8.23	42.1	10	78858	47	2314.725262
629	143786	25669	60	4.45	30.78	21	39220	63	4946.869155
701	87298	17178	12	3.15	12.27	11	91656	53	6593.541113
775	25084	29034	36	10.24	25.73	11	38231	23	4221.418026
756	83416	33444	36	3.34	28.87	9	68104	51	3323.443086
670	118317	23133	60	6.84	48.22	21	80032	50	5437.785081
471	99148	32037	12	14.17	15.53	29	28527	18	3710.028441
776	110816	44891	36	13.24	48.54	3	5424	20	1080.182924
576	106145	41059	24	12.33	21.01	3	39462	18	1878.421577
669	82483	43675	36	12.41	36.39	22	85374	43	1319.093409
431	21007	28472	24	7.64	13.07	10	43074	18	4436.962033
715	45510	40993	24	5.53	30.01	10	19613	58	1847.651362
685	126506	27641	48	6.93	35.64	14	4700	26	4537.090139
813	134474	35090	48	8.93	48.63	24	35256	21	3023.172106
645	27564	26400	24	9.81	13.78	18	42616	19	4774.664744
712	104082	20422	60	13.85	33.98	12	9190	29	5992.768403
588	24703	28017	36	4.81	10.4	25	85435	32	4468.335213
683	147331	27740	48	14.24	19.07	2	77028	56	4507.90665
379	142901	44261	12	5.15	18.99	33	21323	27	1281.683222
517	63642	33179	12	14.6	25.85	22	89654	59	3459.709345
590	134015	43328	60	6.79	23.8	27	3190	36	1413.570164
402	92750	17686	60	13.7	26.03	16	66394	54	6594.484683
825	58559	33731	48	7.18	29.45	29	87236	41	3246.624523
684	142732	8654	12	13.54	19.33	20	80729	41	8297.692395
306	94319	49848	36	7.09	19.94	25	36613	66	189.7349337
646	144132	28648	48	12.57	25.08	8	44149	41	4364.991111
846	26960	38174	24	5.07	47.38	3	58773	29	2375.633295
696	146267	46568	48	9.8	29.25	7	93220	31	713.2798819
678	106123	16556	60	3.34	36.38	13	20608	30	6749.143736
600	147650	28253	24	3	32.19	23	2765	54	4433.260231
746	27287	40732	24	4.79	39.37	26	4055	30	1884.931431
772	59974	15106	12	8.64	25.55	21	81787	29	6979.494569
390	62207	27614	12	10.68	10.96	8	18653	40	4628.85571
327	90855	49976	36	6.41	33.77	9	40167	44	169.7222606
482	99083	18944	60	11.56	45.9	6	96544	34	6310.197163
491	148575	13125	60	4.54	31.77	2	35983	50	7475.064115
614	91626	46796	60	7.47	38.7	17	98099	66	702.4754903
679	120424	30537	48	11.07	36.9	4	76407	42	3947.364847
506	77134	41914	24	3.46	11.61	4	47599	66	1717.471711
427	57573	16023	36	4.52	34.55	10	83096	34	6896.72126
501	121459	11823	36	8.22	44.16	15	34731	18	7751.465698
308	112241	19056	12	5.54	48.39	4	83029	45	6347.284877
517	69481	32764	48	6.09	32.25	20	9718	46	3554.300395
